Fonds ITIE - 4300;BoŒte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(L x l x h en cm)";Remarques;D‚chirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (1-3);Perte de souplesse (0-3);Perte de matiŠre (0-3);PoussiŠre depos‚ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due … l'encre (0-3);Mouillure (umidit…) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);;
;;;;;;Ms 4300/1/39;1514 24 avril;;1;28,1 x 20,3;jour de la date illisible;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/40;1514 10 xbre;;1;24,1 x 19,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/41;1515/16 13 fevr;;2;27,2 x 19,9;aur‚oles ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/42;1515.1520;;2;25,4 x 17,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/43;1516/17 11 fevr;;2;27,1 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/44;1516/7 fevr 13;;2;27,2 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/45;1516 juin 20;;4;26,6 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/46;1516 4 9bre;;8;28,4 x 20,6 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/47;1516;;1;24,9 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/48;1517/08 20 janv;;1;24,8 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/49;1517/18 9 mars;;1;25 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/50;1517 28 mai;;2;26,8 x 19,8;;;;;;;;;;;;;;;;;;;
