Fonds ITIE - 4300;BoŒte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(L x l x h en cm)";Remarques;D‚chirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (1-3);Perte de souplesse (0-3);Perte de matiŠre (0-3);PoussiŠre depos‚ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due … l'encre (0-3);Mouillure (umidit…) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);;
;;;;;;Ms 4300/7/54/14;7 juillet 1645;;2;29 x 18,3;ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/7/54/15;1645 7 8bre;;2;28,2 x 19,4;ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/7/54/16;1645 7 mars, 10 nov 1645, 1645 10 9bre;;2;24,3 x 18,4;ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/7/55;1574 12 xbre;;4;27,3 x 20 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/7/56;1574 d‚cembre 12;;2;27 x 19,6;aur‚oles et lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/7/57;1574 17 xbre;;2;24,8 x 15,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/7/58;1574;;1;27,9 x 19,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/7/59;1574;;2;28,2 x 19;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/7/60;1574;;4;27,6 x 20 ;traces noires verso du dernier feuillet;;;;;;;;;;;;;;;;;;
;"4300/8
1575 … 1577";1575;;;79;Ms 4300/8/1;1575 janv 10;;32;26,3 x 18 x 0,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/2;1575 24 janv;;4;26,5 x 17,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/3;1575/76.8.fevr;;4;25,6 x 17,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/4;1575 5 fevr;;2;28,6 x 19,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/5;1575 8 fevr;;6;25,5 x 17,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/6;1575 21 fevr;;1;29 x 20,2;cordelette rose (avant), restauration ant‚rieure;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/7;1575 12 mars;;1;28,5 s 20,2;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/8;1575-mars 15;;2;29 x 20,2;taches brunes, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/9;1575 3 avril;;1;28,5 x 19;aur‚oles, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/10;1575 21 fevr;;3;28,8 x 20,7;aur‚oles, plis, cordelette rose;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/11/1;1575/76 21 fevr;;4;25,6 x 17,1;aur‚oles, cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/11/2;1575 25 fevr;;4;25,6 x 17,1;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/11/3;1575 26 fevr;;4;25,6 x 17,1;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/11/4;1575 2 mars;;2;25,6 x 17,1;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/12;1575 24 fevr;;2;28,3 x 19,3;aur‚oles, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/13;1575 4 mars;;1;28,3 x 19,1;aur‚oles, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/14;1575 5 mars;;40;25,7 x 17,5 x 0,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/15;14 mars 1575;;2;25,7 x 16,5;aur‚oles, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/16;1575 13 ao–t;;1;27 x 19,7;aur‚oles, aspect cotonneux, migration encre importante;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/17;sans date;;2;26,9 x 19,6;aur‚oles, aspect cotonneux, migration encre importante, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/18;1575 27 avril;;1;18,4 x 20,6;d‚chirures, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/19;1575 6 mai;;1;15,2 x 18,4;aur‚oles, taches brunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/20;1575 13 juin;;4;28,5 x 19,2;aur‚oles, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/21;1575 juillet 8;;1;27,3 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/22;1575 1er ao–t;;1;28 x 19,4;d‚chirures, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/23;1575 1er ao–t;;1;28 x 18,8;d‚chirures,aur‚oles brunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/24;1575 5 ao–t;;1;9,8 x 20,6;d‚chirures, aur‚oles, plis, taches brunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/25;1575 6 ao–t;;1;14,1 x 20,7;d‚chirures, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/26/1;1575 28 ao–t;;4;28,3 x 20,7;taches bunes, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/26/2;1577/78;;2;28,3 x 20,7;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/27;1575 1er 7bre;;2;25,6 x 17,8;migration d'encre faible;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/28;1575 18 8bre;;2;28,3 x 20,5;taches brunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/29;1575 22 8bre;;4;28,6 x 20,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/30;1575 22 9bre;;1;28 x 19,6;lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/31;vers 1575;;16;27,8 x 20,3;aur‚oles, moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/32;juin 9 1575;;10;28,3 x 20,2;air‚oes, taches vertes sur le denrier feuillet, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/33;1575;;20;28,5 x 20,5 x 0,5;aur‚oles, moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/34;vers 1575;;8;28,7 x 20,1;lacune vers le coin sup‚rieur gauche, aur‚oles, encrassement sur le dernier feuillet;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/35;1502/3 13 fevr;;2;28,4 x 17,9;trŠs fragile, moisissures noires, moisissures violettes, aspect cotonneux, taches brunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/36;1502/3 2 mars;;1;28,5 x 18,2;trŠs fragile, moisissures violettes, aspect cotonneux, d‚chirures, aur‚oles, moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/37;1502/3 2 mars;;1;26,5 x 17,7;trŠs fragile, moisissures violettes, aspect cotonneux, d‚chirures, aur‚oles, moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/38;1503 7 avril;;1;19,8 x 16,5;trŠs fragile, moisissures violettes, aspect cotonneux, d‚chirures, aur‚oles, moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/39;1503/04 26 janv;;1;27 x 18,9;lacunes, plis, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/40;1504 8 mai;;2;28 x 18,8;aspect cotonneux, moisissures violettes, moisissures noires, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/41;1504/05 1er fevr;;2;28,3 x 19,3 ;aspect cotonneux, moisissures violettes, taches brunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/42;1504/05 5 fevr;;2;28,2 x 19,9;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/43;1504/05 fevr;;2;28,1 x 19,4;aur‚oles, moisissures violettes, taches brunes, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/44;1504/05 7 mars;;2;28,,4 x 19,5;aur‚oles, moisissures violettes, taches brunes, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/45;1505 29 avril;;2;28,3 x 19,4;aur‚oles, moisissures violettes, taches brunes, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/46;1515 9 juin;;2;28,4 x 19,4;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/47;1520 28 avril;;1;29 x 19,6;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/48;1520 12 mai;;2;28,5 x 19,6;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures, pli;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/49;1520 17 juillet;;2;28,2 x 17,9;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures, pli;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/50;1520 3 9bre;;2;28,4 x 19,2;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures, pli;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/51;1520 3 9bre;;2;28,5 x 19;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures, pli;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/52;1520/21 12 janv;;2;28,6 x 19,1;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures, pli;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/53;1520/21 6 janv;;2;28,2 x 19,5;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures, pli;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/54;1520/21 13 janv;;2;28,5 x 19,8;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures, pli;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/55;1520/21 17 janv;;2;28,2 x 19,2;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures, pli;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/56;1520/21 19 janv;;2;28,3 x 18,4;aur‚oles, moisissures violettes, aspect cotonneux, d‚chirures, pli;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/57;1554 3 juillet;;17;31,2 x 21,2 x 0,5;pli, aur‚oles, reli‚ par clou;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/58;1558 25 avril;2;6;31,5 x 20,7;lacune, aspect cotonneux, cordelette, deuxiŠme cahier = mˆme date;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/59;1561 (vers);;2;31,3 x 21,2;d‚chirure, apect cotonneux, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/60;1561/68 18 mars;;2;29,5 x 19,2;d‚chirure, aspect cotonneux, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/61;1562 22 7bre;;2;29,8 x 20;d‚chirures, plis, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/62;1562 30 8bre;;1;19,7 x 24;feuillet en parchemin, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/63/1;1562 26 9bre;;4;26,3 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/63/2;1562 3 xbre;;2;29,8 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/63/3;1562 10 xbre;;4;26,3 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/64;1562;;4;29,2 x 19;d‚chirure, tache brune, plis, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/65;1562;;6;30 x 20;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/66;1562;;24;29 x 20,6 x 0,8;plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/67;1562 ?;;1;28,9 X 21,1;plis, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/68;1562/63 14 fevr;;2;29,5 x 19,5;lacune, plis, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/69;1562 8 8bre;;2;29,6 x 19,5;plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/70;1563;;6;29,7 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/71;1563;;5;28 x 19,3 ;restauration ant‚rieure (papier);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/72;1564 15 avril;;2;29,6 x 20;d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/73;1576 ?;;4;28,5 x 20,2;aur‚oles;;;;;;;;;;;;;;;;;;
;;1576 … 1577;;;42;Ms 4300/8/74;1576/77 19 janv;;2;28,8 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/75;1576 21 janv;;2;27,5 x 19,9;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/76;1576 26 janv;;2;28,1 x 18,4;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/77/1;1576 22 fevr;;1;29 x 19,9;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/77/2;1578 1er fevr;;1;29 x 19,9;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/78;1576 14 mars;;4;25,6 x 20,7;aur‚oles, aspect cotonneux, lacunes en bas;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/79;1576 1er avril;;24;25,5 x 16,6 x 0,5;aur‚oles, moisissures violettes, traces d'infestation (galerie);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/80;1576 9 avril;;2;27,4 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/81/1;1576 20 juin;;1;11,1 x 19,4;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/81/2;1576 1er 7bre;;1;27,9 x 19,3;cordelette (avant), d‚chirures, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/81/3;1576 10 xbre;;1;15 x 19;cordelette (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/81/4;1577 1 fevr;;1;10,8 x 19,6;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/81/5;1577 10 fevr;;1;8,8 x 19,3;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/82;1576 24 juin;;1;28,2 x 20,2;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/83;1576 8 juillet;;4;27,7 x 20,3;aur‚oles, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/84;1576 11 8bre;;1;28,3 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/85;1576 7 xbre;;2;25,7 x 17,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/86;vers 1576;;17;29,2 x 21,1 x 0,5;moisissures violettes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/87;6 mars 1577;2;12;32,9 x 21,6 x 0,5;Cahier 2 = mˆme date que le premier;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/88;1557/1558 16 janvier … 1604 avril 13;;9;27,1 x 20,7;restauration ant‚rieure (reliure et feuillet 8);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/89;1577.16 f‚vrier;;8;29 x 21,2;aur‚oles, d‚chirures, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/90;1577 20 fevr;;4;27,5 x 19,8;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/91;1577 12 avril;;2;28,3 x 19,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/92;1577 21 avril;;6;29,9 x 21;aur‚oles, fort brunissement des premiers feuillets, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/93;1577 ? avril 26;;2;27,9 x 19,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/94/1;1577 7 mai;;2;25,5 x 16,7;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/94/2;1577 8 mai;;2;25,4 x 16,7   ;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/94/3;1577 17 mai;;2;28 x 19;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/94/4;1577 6 Juillet;;6;25,3 x 17;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/95;1577-3 octobre;;19;25,4 x 16,7 x 0,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/96;1577 7 8bre;;2;27,9 x 19;aur‚oles, taches brunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/97/1;1577 11 8bre;;1;14,4 x 18,6;taches brunes, cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/97/2;1577 8bre;;1;13,7 x 18,8;taches brunes, cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/98;1577-27 d‚cembre;2;"cahier 1 : 30
cahier 2 : 14
total : 44";28 x 20,5 x 1,4;clou en bas;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/99;1577;;22;29 x 20,7 x 0,7;cordelette rose;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/100;1577;;8;28,3 x 20,6;aur‚oles, moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/101/1;vers 1577;;6;28,9 x 21,5;aur‚oles, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/101/2;1578 30 mai;;14;28,5 x 20,5;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/101/3;1578 8 8bre;;1;30,2 x 20,3;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/101/4;1678 29 8bre;;2;27,8 x 19,8;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/101/5;1583 11 aout;;10;29,5 x 20,5;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/8/101/6;vers 1580;;12;29,8 x 22;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;"4300/9
1578 … 1582";1578 … 1580;;;83;Ms 4300/9/1;1578 janv 17;;1;24,7 x 16,4;taches brunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/2;1578-26 f‚vrier;;14;28 x 20;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/3/1;1578 3 avril;;2;34,5 x 22,2;cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/3/2;1579 17 juin;;1;32,5 x 21,9;cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/4;1578 17 avril;;2;26,5 x 16,8;aur‚oles, aspect cotonneux, moisissures roses;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/5;1578.13 mai;;22;25 x 19,4 x 0,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/6;1578 13 mai;;18;28,5 x 20,4 x 0,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/7;1578 13 mai;;2;27,4 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/8/1;1578 13 mai;;6;25,8 x 17,9;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/8/2;13 may 1578;;4;25,8 x 17,9;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/8/3;vers 1696;;1;25,8 x 17,9;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/8/4;sans date ;;2;25,8 x 17,9;cordelette (avant), possible suite du Ms 4300/9/8/3;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/8/5;sans date;;1;25,8 x 17,9;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/8/6;sans date;;4;25,8 x 17,9;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/9;1578 7 juin;;6;26,7 x 20,3;aur‚oles en haut et bas;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/10;1578 22 juin;;2;27,5 x 20;taches d'‚claboussures en bas;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/11;1578 juin 16;;2;27,8 x 19,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/12;1578 4 juillet;;44;27,7 x 11,1 x 1,2;couverture en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/13;1578 28 juin;;1;14 x 19,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/14;1578.22 ao–t;;4;28 x 18,8;aspect cotonneux, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/15;1578 oct. 27;;4;24,7 x 16,3;aur‚oles, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/16;1578 11.9bre;;9;27,9 x 20,3;aur‚oles, aspect cotonneux, moisissures violettes, cordelette rose;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/17;1578 14 xbre;;2;25,3 x 17,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/18;vers 1578;;1;27,6 x 19,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/19;vers 1578;;4;27,9 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/20;1579 12 fevr;;6;28,4 x 19,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/21;1579 8 mars;;4;27,3 x 17,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/22;1579 avril 9;;2;29,5 x 20,6;taches;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/23;1579.20 avril;;6;27,3 x 20,2 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/24;1579.22 avril;;6;27 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/25;1579.22 avril;;6;27,4 x 21,1;aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/26;1579 5 mai;;6;27,6 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/27;1579 13 juillet;;2;28,2 x 21;reli‚ par clou;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/28/1;1579 24 juillet;1;4;27,9 x 20,3;cordelette bicolore (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/28/2;vers 1580;1;10;27,8 x 20,4;cordelette bicolore (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/28/3;1588 26 janv;1;4;28,5 x 20;cordelette bicolore (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/29;1579 25 juillet;;4;30,7 x 21;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/30;1579 13 7bre;;1;17,6 x 27,2;taches brunes, traces de sceau;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/31;1579.20 7bre;;2;26,3 x 19,6;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/32;1579 24 7bre;;5;26,9 x 18,7;cordelette rose;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/33;1579 7 8bre;;4;26,7 x 17,6;lacunes, moissisures violettes, aur‚oles au centre;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/34;1579 28 8bre;;2;26,4 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/35;1579 10 9bre;;7;28,6 x 21,1;taches brunes, moisissures noires, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/36;1579 11 9bre;;6;28,2 x 20,7;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/37;1579 11 9bre;;2;29,7 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/38;1579;;1;18,1 x 11;feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/39;1579 Decembre 8;;4;26,5 x 20,1;large d‚chirure au niveau du pli central, aspect cotonneux, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/40;1579 28 xbre;;1;25,2 x 16,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/41;1579 D‚cembre 30;;4;26,5 x 17,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/42;1579 30 xbre;;2;29,6 x 20,6;plis, aur‚oles, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/43/1;1580 8 janv;;2;28,3 x 20,2;aur‚oles, taches brunes, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/43/2;1580 8 Janvier;;2;28,3 x 20,2;aur‚oles, taches brunes, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/44;1580 8 janv;;1;27,1 x 18,8;moisissures roses, d‚chirures, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/45;1580-16 janvier;1;14;27,9 x 20,5 x 0,5;aur‚oles, taches noires … l'int‚rieur, cahier … la date de 1583;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/46;1580-22 f‚vrier;;10;28 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/47;1580 7 mars;;1;25 x 17,3;lacunes, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/48;1580 9 mars;;4;28,3 x 19,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/49;1580 15 mars;;2;24,5 x 22,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/50;1580 7 avril;;8;26,9 x 18,8;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/51/1;1580 8 avril;;2;28 x 18,7;aur‚ole, reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/51/2;1580;;1;28 x 18,7;aur‚ole, reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/52;13 avril 1580;;2;26,5 x 20;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/53;1580 15 avril;;2;26,5 x 18,4;aur‚oles, moisissures noires, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/54;1590 22 avril;;3;27,5 x 20,4;cordelette;;;;;;;;;;;;;;;;;;
