fonds, boite, annee, cotation, date, foliation, dimensions(mm), remarques, date_ISO, material, tipo_documento, genere, page_inventaire, description_inventaire, noms_inventaire, noms, lieux, dechirures(0-3), froissures(0-3), lacunes(0-3), plis(0-3), perte_de_matiere(0-3), perte_de_souplesse(0-1), poussiere(0-3), eclaircissement(0-3), taches(0-3), degradation_due_a_encre(0-3), humidite(0-3), moissisure(0-3), traces_insecte(0-3), risque(1-5), cartella_foto
dc.relation.ispartof, dc.relation.ispartof, dc.relation.ispartof, dc.identifier, dc.date.created, dc.format.extent, dc.format.extent, dc.description, dc.date, dc.format.medium, dc.type, dc.type, dc.relation.isReferencedBy, dc.description.abstract.legacy, dc.subject.legacy, dc.subject, dc.coverage, dc.description.condition.[tears], dc.description.condition.[wrinkles], dc.description.condition.[lacunae], dc.description.condition.[creases_(condition)], dc.description.condition.[crumbling], dc.description.condition.[stiffness], dc.description.condition.[dust], dc.description.condition.[fading], dc.description.condition.[stains_(damage)], dc.description.condition.[ferrogallic_process], dc.description.condition.[water_damage], dc.description.condition.[mold_(condition)], dc.description.condition.[insect_damage], dc.description.condition.risk_index, dc.identifier.uri
Ms4300, 40, 1657-1658, Ms4300/40/32/4, 1657 23 avril, 2, 253 x 190, cordelette jaune, 1657-04-23, papier, manuscrit, supplie, 337, """Requête par Jacques Le Comte contre M. du Peries, [...] de Larsan""", Le Comte | du Peries | Larsan, """Doux, Le | Le Comte, Jacques | Périer, Germain du (de Larsan?) | Périer, Pierre du (de Larsan?) | Rubran, Jacques de | Dorat, Jean | Peleau(Nesmond, Guillame de ?)(Nesmond, Guillame de ?) | Salis, de (notaire) | Acombe, d' (notaire)""", null, 0, 1, 1, 2, 1, 0, 1, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/32/5, 1657 29 mai, 2, 253 x 185, cordelette jaune, 1657-05-29, papier, manuscrit, supplie, 337, """Requête par Jacques Le Comte contre M. du Peries, [...] de Larsan""", Le Comte | du Peries | Larsan, """Doux, Le | Le Comte, Jacques | Périer, Pierre du (de Larsan?) | Peleau(Nesmond, Guillame de ?) | Salis, de (notaire) | Acombe, d' (notaire)""", null, 0, 1, 1, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/32/6, 1657 14 juin, 2, 253 x 190, cordelette jaune, 1657-06-14, papier, manuscrit, supplie, 337, """Requête par Jacques Le Comte contre M. du Peries, [...] de Larsan""", Le Comte | du Peries | Larsan, """Doux, Le | Le Comte, Jacques | Périer, Germain du (de Larsan?) | Périer, Pierre du (de Larsan?) | Rubran, Jacques de | Dorat, Jean | Peleau(Nesmond, Guillame de ?) | Duval | Salis, de (notaire) | Acombe, d' (notaire)""", null, 0, 1, 1, 2, 1, 0, 1, 1, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/32/7, 1658 4 mai, 2, 262 x 180, cordelette jaune, 1658-05-04, papier, manuscrit, supplie, 337, """Requête par Jacques Le Comte contre M. du Peries, [...] de Larsan""", Le Comte | du Peries | Larsan, """Doux, Le | Le Comte, Jacques | Périer, Pierre du (de Larsan?) | Salis, de (notaire)""", null, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/32/8, 1658 7 mai, 2, 246 x 181, cordelette jaune, 1658-05-07, papier, manuscrit, supplie, 337, """Requête par Jacques Le Comte contre M. du Peries, [...] de Larsan""", Le Comte | du Peries | Larsan, """Doux, Le | Le Comte, Jacques | Périer, Germain du (de Larsan?) | Périer, Pierre du (de Larsan?) | Rubran, Jacques de | Dorat, Jean | Salis, de (notaire)""", null, 0, 1, 1, 2, 1, 0, 1, 2, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/33, 1657 14 mai, 2, 252 x 182, null, 1657-05-14, papier, manuscrit, lettre, 337, Memoire concernant la [...] des [...] Chateauneuf, Chateauneuf, """Chambre, m.me de""", null, 0, 2, 0, 2, 2, 0, 1, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/34, 1657 30 mai, 6, 251 x 179, null, 1657-05-30, papier, manuscrit, contrat, 338, Nomination d'un garde dans l'Ile de Caudrot par le procurateur Honoré de Lur de [...], Ile de Caudrot | de Lur de [...], """Arche, Bernard d' | Lur-Saluce, Honoré de""", null, 0, 1, 1, 2, 1, 0, 2, 1, 2, 2, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/35, 1657 4 juin, 2, 303 x 211, null, 1657-06-04, papier, manuscrit, exploit, 338, Exploit pour [...] de La Larme contre M. Gaellard, Gaellard | de La Larme, """Gaillard | [La...], Alphonse de La | Nicolas, (notaire)""", Bordeaux, 2, 2, 2, 2, 1, 0, 1, 1, 2, 3, 1, 0, 0, , Ms_4300_40_35
Ms4300, 40, 1657-1658, Ms4300/40/36, 1657 11 juin, 2, 249 x 182, null, 1657-06-11, papier, manuscrit, atto notarile, 338, Signification a la requête de M. de Lur d'un qrret contre Bernard d'Arche, d'Arche | de Lur, """Lur-Saluce, Honoré de | Arche, Bernard d' | Buerry, (notaire) | Nicolas, (notaire)""", Bordeaux, 0, 1, 1, 2, 0, 0, 1, 1, 2, 3, 2, 0, 0, , x
Ms4300, 40, 1657-1658, Ms4300/40/37, 1657 14 juin, 1, 140 x 172, null, 1657-06-14, papier, manuscrit, atto notarile, 338, Procuration par Fr. de Pontac pour le remplacer qu procès qu'il a contre Jacques Le Comte, de Pontac | Le Comte, """Pontac, François de | Pontac, Gabriel de | Verger, de (notaire)""", null, 0, 2, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/38, 1657 16 juin, 2, 239 x 177, null, 1657-06-16, papier, manuscrit, atto notarile, 338, Jugement des requêtes du palais concernant M.r du Perier a [...] en faveur de Jacques Le Comte, du Perier | Le Comte, """Le Comte, Jacques | Périer, Pierre du (de Larsan?) | Périer, Germain du (de Larsan?) | Rubran, Jacques de", Isle-fort, 2, 2, 2, 2, 1, 0, 1, 1, 2, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/39/1, 1657 18 juin, 2, 252 x 186, cordelette, 1657-06-18, papier, manuscrit, papier processuale, 338, Pièces d'un procès entre Arnaud de Pontac et Joseph de Sageau, de Sageau | de Pontac, """Pontac, Arnaud de | Sageau, Joseph de | Domenge""", Vigeois | Bordeaux, 1, 1, 2, 2, 1, 0, 2, 1, 1, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/39/2, 1657 21 juin, 1, 240 x 174, cordelette, 1657-06-21, papier, manuscrit, papier processuale, 338, Pièces d'un procès entre Arnaud de Pontac et Joseph de Sageau, de Sageau | de Pontac, """Pontac, Arnaud de | Sageau, Joseph de | Domenge""", Vigeois | Bordeaux, 1, 2, 1, 2, 1, 0, 1, 1, 1, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/39/3, 1657 23 juillet, 2, 251 x 187, cordelette, 1657-07-23, papier, manuscrit, papier processuale, 338, Pièces d'un procès entre Arnaud de Pontac et Joseph de Sageau, de Sageau | de Pontac, """Pontac, Arnaud de | Sageau, Joseph de | Chambre, d. de | Domenge""", Vigeois | Bordeaux, 1, 1, 2, 2, 1, 0, 2, 1, 1, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/39/4, 1658 30 mai, 1, 247 x 187, cordelette, 1658-05-30, papier, manuscrit, papier processuale, 338, Pièces d'un procès entre Arnaud de Pontac et Joseph de Sageau, de Sageau | de Pontac, """Pontac, Arnaud de | Sageau, Joseph de | Domenge""", Vigeois | Bordeaux, 0, 2, 1, 2, 1, 0, 2, 1, 1, 2, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/39/5, 1659 21 janv, 2, 251 x 180, cordelette, 1659-01-21, papier, manuscrit, papier processuale, 338, Pièces d'un procès entre Arnaud de Pontac et Joseph de Sageau, de Sageau | de Pontac, """Pontac, Arnaud de | Sageau, Joseph de | Chambre, d. de | Domenge""", Vigeois | Bordeaux, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/39/6, 1659 14 janv, 2, 254 x 184, cordelette, 1659-01-14, papier, manuscrit, papier processuale, 338, Pièces d'un procès entre Arnaud de Pontac et Joseph de Sageau, de Sageau | de Pontac, """Pontac, Arnaud de | Sageau, Joseph de | Chambre, d. de | Domenge""", Vigeois | Bordeaux, 0, 1, 1, 2, 0, 0, 1, 1, 1, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/39/7, 1659 30 janv, 2, 248 x 180, cordelette, 1659-01-30, papier, manuscrit, papier processuale, 338, Pièces d'un procès entre Arnaud de Pontac et Joseph de Sageau, de Sageau | de Pontac, """Pontac, Arnaud de | Sageau, Joseph de | Chambre, d. de""", Vigeois | Bordeaux, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/40/1, 1657 21 juin, 2, 254 x 186, cordelette, 1657-06-21, papier, manuscrit, atto notarile, 338, Arret pour Jacques Le Comte contre Marie Vallet, Vallet | Le Comte, """Le Comte, Jacques | Montallies""", null, 1, 1, 1, 2, 1, 0, 1, 1, 2, 2, 2, 1, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/40/2, 1657 28 juin, 2, 252 x 187, cordelette, 1657-06-28, papier, manuscrit, atto notarile, null, null, null, """Le Comte, Jacques | Montallies | Acombe, d' (notaire)""", null, 1, 1, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/41, 1657 juillet 9, 2, 208 x 149, Cachets de cire rouge, 1657-07-09, papier, manuscrit, lettre, null, null, null, """Daffis, m.me""", Bayonne | Bordeaux, 0, 0, 0, 2, 0, 0, 1, 1, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/42/1, XVII siècle, 1, 110 x 170, 3 cordelettes, 1600/1699, parchemin, manuscrit, papier processuale, null, null, null, """Mothe, Anne de La | Pontac, François de | Bousquillon""", Bordeaux, 0, 3, 1, 2, 0, 0, 1, 1, 1, 1, 1, 0, 2, , 
Ms4300, 40, 1657-1658, Ms4300/40/42/2, XVII siècle, 1, 277 x 177, 3 cordelettes, 1600/1699, papier, manuscrit, papier processuale, null, null, null, """Pontac, François de | Bousquillon""", Bordeaux, 2, 1, 1, 2, 1, 0, 2, 1, 1, 2, 1, 0, 2, , 
Ms4300, 40, 1657-1658, Ms4300/40/42/3, XVII siècle, 1, 246 x 178, 3 cordelettes, 1600/1699, papier, manuscrit, papier processuale, null, null, null, """Mothe, Anne de La | Pontac, François de | Bousquillon""", Bordeaux, 1, 1, 1, 2, 1, 0, 2, 1, 1, 2, 1, 0, 2, , 
Ms4300, 40, 1657-1658, Ms4300/40/42/4, XVII siècle, 1, 278 x 177, 3 cordelettes, 1600/1699, papier, manuscrit, papier processuale, null, null, null, """Mothe, Anne de La | Pontac, François de | Bousquillon""", Bordeaux, 1, 1, 1, 2, 1, 0, 2, 1, 1, 2, 1, 0, 2, , 
Ms4300, 40, 1657-1658, Ms4300/40/42/5, XVII siècle, 1, 116 x 112, 3 cordelettes, 1600/1699, papier, manuscrit, biglietto, null, null, null, null, Bordeaux, 0, 2, 2, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/42/6, 1657, 1, 105 x 201, 3 cordelettes, 1657, papier, manuscrit, atto notarile, null, null, null, """Pontac, Gabriel de | Bousquillon""", Bordeaux, 2, 1, 2, 1, 0, 0, 1, 0, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/42/7, 1657 16 9bre, 1, 275 x 182, 3 cordelettes, 1657-11-16, papier, manuscrit, atto notarile, null, null, null, """Mothe, Anne de La |  Bousquillon""", Bordeaux, 0, 1, 2, 2, 0, 0, 1, 1, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/42/8, 1657 6 juilliet, 2, 373 x 232, 3 cordelettes, 1657-07-06, papier, manuscrit, lettre, 338, Pièces d'un procès entre Anne de La Motte et Jacques Le Comte, Le Comte | La Motte, """Pontac, François de | Le Comte, Jacques | Segne, Jacquette de | Merignac, Guyonne de| Merignac, Gabriel de | Mothe, Anne de La | Bousquillon""", Bordeaux, 1, 1, 1, 2, 2, 0, 2, 0, 1, 2, 2, 0, 2, , x
Ms4300, 40, 1657-1658, Ms4300/40/43, 1657 juillet 6, 2, 226 x 167, cachet de cire rouge, 1657-07-06, papier, manuscrit, lettre, null, null, null, """Tresne, de La""", Bordeaux, 2, 2, 3, 3, 0, 0, 1, 0, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/44, 30 juillet 1657, 2, 213 x 156, null, 1657-07-30, papier, manuscrit, atto notarile, null, null, null, """Pontac, Arnaud de | Pierre-Buffiers, Françoise de | Pierre-Buffiers, Henry de""", null, 1, 1, 1, 2, 0, 0, 1, 0, 2, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/45, 1657 juillet 30, 2, 296 x 204, null, 1657-07-30, papier, manuscrit, lettre, null, null, null, """Daffis, m.me""", null, 1, 2, 3, 3, 2, 0, 1, 0, 2, 1, 2, 1, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/46, 1657 30 juillet, 1, 275 x 190, null, 1657-07-30, papier, manuscrit, atto notarile, null, null, null, Pontac, de, null, 1, 1, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/47, 1657 31 juillet, 23, 313 x 195, réliure artisanal, 1657-07-31, papier, manuscrit, resoconto, 338, Arret en faveur de F.re de Pierre-Buffiére contre Jeanne de Fabas, de Pierre-Buffière | de Fabas, """Marin, Jean | Pierre-Buffiers, Françoise de | Pierre-Buffiers, Henry de | Fabas, Jeanne de""", null, 3, 2, 1, 3, 1, 1, 2, 0, 2, 2, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/48, 1657 3 aout, 2, 299 x 185, null, 1657-08-03, papier, manuscrit, supplie, 338, Requête de Jacques Le Comte à propos des [...] de Fr. d'Arriet, d'Arriet | Le Comte, """Traud, Marie de | Arriet, Suzanne d' | Le Comte, Jacques""", null, 1, 1, 3, 3, 1, 0, 1, 1, 2, 3, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/49, 1657 aout 30, 2, 242 x 181, null, 1657-08-30, papier, manuscrit, lettre, null, null, null, """Chapitain, de | ", Cap-Breton, 0, 0, 0, 2, 1, 0, 1, 1, 1, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/50, 1657 17 7bre, 2, 245 x 181, null, 1657-09-17, papier, manuscrit, resoconto, 338, """Compte des frais fait pour les funérailles de S.r Germain a La Tresne. 50 lt 8 s""", Germain | La Tresne, """Germain""", null, 0, 2, 0, 2, 0, 0, 0, 0, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/51, 1657 21 7bre, 4, 250 x 181, réliure artisanal, 1657-09-21, papier, manuscrit, contrat, 338, Cession de 300 lt par Fr. Fayolle et M. de St. Sever contre [...] d'Alesme, de Fayolle | de St. Sever | d'Alesme, """Fayolle, François | Saint-Sever, Arnaud de | Deminuielle, d.elle | Alesme, d.elle d'""", Bordeaux, 1, 1, 0, 2, 0, 0, 1, 2, 1, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/52, 1657 sept 25, 1, 388 x 257, cachet de cire rouge, 1657-09-25, papier, manuscrit, lettre, null, null, null, null, null, 1, 2, 3, 3, 1, 0, 2, 3, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/53, 1657 2 8bre, 1, 182 x 182, null, 1657-10-02, papier, manuscrit, quittance, 338, Prorogation de [...] de payement par Mr. de Bacallan pour M.elle de Tustal, de Bacallan | de Tustal, """Bacalan, Aranud de | Tustal, m.melle de""", null, 0, 1, 0, 2, 1, 0, 1, 2, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/54, 1657 10/15 novembre, 4, 297 x 200, cordelettes, 1657-11-10/1657-11-15, parchemin, manuscrit, atto notarile, null, null, null, """Arche, Bernard d' | Lur-Saluce, Honoré de |  Doublet, Étienne | Maureil, de | Dumergue, (notaire)", null, 3, 3, 3, 3, 3, 1 (2), 1, 2, 2, 1, 2, 2, 0, , x
Ms4300, 40, 1657-1658, Ms4300/40/55, 1657 12 9bre, 10, 260 x 180, réliure artisanal, 1657-11-12, papier, manuscrit, atto notarile, null, null, null, "Lur-Saluce, Honoré de | Sainte-Maure, Isabelle de""", Caudrot, 3, 1, 3, 2, 3, 0, 1, 1, 1, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/56/1, 1657 22 novbre, 2, 265 x 224, pochette du XIX siècle en protéction du Ms4300/40/56/2, 1657-11-22, papier, manuscrit, document d'archive, null, null, null, null, null, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/56/2, 1657 nov 22, 2, 245 x 175, null, 1657-11-22, papier, manuscrit, lettre, null, null, null, null, Bordeaux, 3, 1, 3, 2, 3, 0, 1, 2, 2, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/57, 1657 26 9bre, 4, 252 x 183, réliure artisanal, 1657-11-26, papier, manuscrit, contrat, 339, Bail d'une maison a Bx. par Anne de Massiot, null, """Massiot, Anne de | Daffis, Jean |  Norry, François de | Cremer, (notaire)""", null, 1, 1, 3, 3, 1, 0, 2, 0, 2, 3, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/58, 1657 9bre, 2, 280 x 182, null, 1657-11, papier, manuscrit, atto notarile, 339, """Sommation a la requête de Louise de Thou, [...] d'Arnaud de Pontac, au receveur des consignations d'avoir a lui payé 4000 lt""", de Thou | de Pontac, """Thou, Louise de | Pontac, Arnaud de""", null, 0, 1, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 2, , 
Ms4300, 40, 1657-1658, Ms4300/40/59, 1657 dec 22, 2, 246 x 170, cachet de cire rouge, 1657-12-22, papier, manuscrit, lettre, null, null, null, Derieu, null, 3, 2, 0, 3, 0, 0, 1, 1, 1, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/60, 1657, 6, 354 x 246, null, 1657, papier, manuscrit, resoconto, 339, null, null, """ Pontac, Arnaud de | Le Comte, Jacques |  Pontac, Geoffroy de | Thou, Gabrielle Louise de | Pontac, Marie Thérèse de (d'Aulède) | Thou, m. de | Deseuriol, Jean | Pot, Jacqueline | Stuart, Paul""", null, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/61, 1657 ?, 30, 377 x 240, null, 1657, papier, manuscrit, cronaca, 339, Réponse de Jacques Le Comte contre la requête des [...] d'Anne La Motte, La Motte | Le Comte, """Comte, Jean-Baptiste Le | Pontac, François de (d'Anglade) | Merignac, Guyonne de | Pontac, Gabriel de | Guyonne de Segne | Mothe, Anne de | Mandosse, François de | Segne, Jacquette de | Segne, François de""", Bordeaux, 1, 1, 1, 2, 2, 1, 1, 0, 1, 2, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/62, 1657, 26, 255 x 194, réliure artisanal, 1657, papier, manuscrit, resoconto, 339, null, null, """Dumas, Anthony | Reyne, François | Gaudin, Jean | Millaud, Jean | Denaux, Jean | Grillon, pierre | Laroche""", Bordeaux, 0, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1, 1, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/63, 1658 2 janv, 1, 280 x 173, null, 1658-01-02, papier, manuscrit, supplie, 339, """Requête au Parlt. de Bordx. par Jacques Le Comte, contre Marg.tte de Ferron, [...] Gabriel de Pontac""", , """Gilles, (notaire) | Ferron de Carbonnieux, Margueritte de | Le Comte, Jacques""", null, 3, 2, 1, 1, 2, 0, 1, 1, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/64, 1658 3 janv, 6, 243 x 182, timbre, 1658-01-03, papier, manuscrit, contrat, 339, """Trans.on entre Daniel de Tustal, d'une part, et Hector de Clermont et Ester de Tustal, d'autre part, a propos de la succession d'[...] de Tustal", de Tustal | de Clermont, """Tustal, d. de | Laplasse, d.elle de""", null, 0, 0, 0, 2, 1, 0, 1, 1, 1, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/65, 1658 3 janv, 4, 227 x 176, null, 1658-01-03, papier, manuscrit, contratto, null, null, null, null, null, 1, 2, 0, 2, 1, 0, 1, 1, 3, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/66, 1658 4 janv, 2, 180 x 128, null, 1658-01-04, papier, manuscrit, quittance, 339, """Reçu de la [...]  du couvent de st. Dominique, d'un loyer de maison""", St. Dominique (couvent), Galibert, Bordeaux | couvent de Saint Dominique, 1, 1, 0, 2, 1, 0, 1, 0, 2, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/67, 1658 janv 7, 2, 242 x 180, cachet de cire rouge, 1658-01-07, papier, manuscrit, lettre, null, null, null, """Gudin, de""", Bordeaux | Rue de Fosses |  La Rochelle, 1, 1, 0, 2, 0, 0, 1, 1, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/68/1, 1658 16 janv, 2, 243 x 222, pochette du XIX siècle en protéction du Ms4300/40/68/2, 1658-01-16, papier, manuscrit, document d'archive, null, null, null, null, null, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/68/2, 1658 16 janv, 2, 312 x 207, cachet de cire rouge, 1658-01-16, papier, manuscrit, lettre, null, null, null, null, Bordeaux, 3, 2, 0, 2, 3, 0, 1, 0, 1, 2, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/69/1, 26 janvier 1658, 1, 247 x 185, null, 1658-01-26, papier, manuscrit, atto notarile, 339, """Transaction portant partage entre les fils de Jean Bernard, de [B...]""", Bernard | [B...], """Bernard, Jeanne | Bernard,  Margueritte | Bernard, Pierre""", null, 0, 2, 1, 2, 1, 0, 1, 1, 2, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/69/2, 7 mars 1658, 4, 247 x 190, null, 1658-03-07, papier, manuscrit, atto notarile, null, null, null, Margueritte Bernard, null, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/70, 1658 29 janv, 2, 246 x 180, null, 1658-01-29, papier, manuscrit, exploit, 339, """Exploit, à la requête de Jacques Le Comte, contre Romy, bourg.s de Bord.x""", Romy | Le Comte, """Romy | Le Comte, Jacques", null, 0, 2, 1, 2, 0, 0, 1, 1, 2, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/71/1, 1658 2 fevr, 2, 305 x 191, null, 1658-02-02, papier, manuscrit, resoconto, 339, Memoire de la saisie de la terre de Chambret, Chambret, null, Chamberet, 3, 1, 1, 3, 3, 0, 1, 1, 3, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/71/2, 1662, 2, 180 x 128, null, 1662, papier, manuscrit, memoire, null, null, null, """Chambret, de""", Chamberet, 0, 1, 0, 2, 1, 0, 0, 0, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/71/3, XVII siècle, 1, 246 x 165, null, 1600-1699, papier, manuscrit, memoire, null, null, null, null, Chamberet, 0, 2, 0, 2, 1, 0, 1, 1, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/72, 1658 8 fevr, 1, 246 x 180, null, 1658-02-08, papier, manuscrit, atto notarile, 339, Requête par F.s du Boury contre [S...] de La Larme, du Boury | de La larme, """[La...], de La""", null, 1, 2, 3, 2, 0, 0, 1, 1, 3, 0, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/73/1, 1658 19 fevrier, 2, 284 x 223, pochette du XIX siècle en protéction du Ms4300/40/73/2, 1658-02-19, papier, manuscrit, document d'archive, null, null, null, null, null, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/73/2, 19 fevrier 1658, 2, 226 x 169, Cachets de cire rouge, 1658-02-19, papier, manuscrit, lettre, null, null, null, """Tresne, de La""", Paris | Bordeaux, 1, 2, 1, 3, 0, 0, 1, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/74, 1658 20 fevrier, 24, 290 x 216, timbre, 1658-02-20, parchemin, manuscrit, cronaca, 340, [...] et dénombrement presenté par Arnaud de Pontac [...], de Pontac | [...] | [...] | [...], """Foix, Bernard de | Nouet, Pierre | Danieau, Margueritte |  Pontac, Arnaud de | La Mothe | Bernard, Jean | Prevost, Pierre | Arnaud, Pierre | Grillet, Jean | Bertrand, Jean | Renant, Catherine | Sacriste, Antoine | Nouet, Pierre | Bernard, François | Gaillard, Guillien | Gaillard, Pierre | Martin, Bernard""", null, 0, 3, 3, 3, 0, 1 (2), 1, 3, 3, 1, 2, 1, 1, , x
Ms4300, 40, 1657-1658, Ms4300/40/75, 1658 fevr 24, 2, 243 x 174, cachet de cire rouge, 1658-02-24, papier, manuscrit, lettre, null, null, null, null, rue de Fosses | Bordeaux, 1, 1, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/76, 1658 fevr 28, 2, 193 x 147, cachet de cire rouge, 1658-02-28, papier, manuscrit, lettre, null, null, null, """Tresne, de La""", Bordeaux, 2, 1, 2, 3, 0, 0, 1, 1, 1, 0, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/77, 1658 2 mars, 8, 305 x 206, codelette, 1658-03-02, parchemin, manuscrit, atto notarile, 340, Condamnation de Pierre de Gabarret fermier des marais d'Oleron pour [...] commis contre M.r de Marran, Gabarret | Oleron | de Marran, """Marrand (Marans?), Jean de | Marrand(Marans?), Jean Joseph de| Gabaret, Pierre""",  Île d'Olerôn | Toulouse, 0, 2, 1, 2, 2, 1 (2), 1, 1, 1, 0, 2, 0, 1, , 
Ms4300, 40, 1657-1658, Ms4300/40/78, 1658 7 mars, 6, 250 x 185, null, 1658-03-07, papier, manuscrit, atto notarile, 340, Partage des [...] de la famille Bernard, a [B...], [B...], """Bernard, Margueritte | Bernard, Jeanne""", null, 1, 0, 0, 2, 0, 0, 2, 1, 2, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/79, 1658 8 mars, 2, 248 x 180, timbre en mauvais état, 1658-03-08, papier, manuscrit, atto notarile, null, null, null, """Roche | Calmette, d. de""", null, 3, 2, 3, 2, 0, 0, 1, 0, 2, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/80, 1658 mars 17, 2, 204 x 159, cachet de cire rouge, 1658-03-17, papier, manuscrit, lettre, null, null, null, Grillon, Bordeaux, 3, 2, 3, 2, 1, 0, 0, 1, 0, 1, 0, 0, 0, , 
